기준_날짜,행정동_ID,승객_수
2023-05-27,1108078,4044.0
2023-10-25,1110054,6700.0
2023-11-16,1101055,11511.0
2023-08-06,1124062,1108.0
2023-05-19,1125066,65889.0
2023-06-01,1113070,15479.0
2023-12-26,1116051,13862.0
2023-08-10,1119056,48216.0
2023-05-27,1120073,36798.0
2023-04-24,1119055,37308.0
2023-04-23,1116057,2858.0
2023-01-10,1125059,3603.0
2023-06-28,1113065,6028.0
2023-01-19,1124051,4018.0
2023-04-22,1119072,35029.0
2023-04-09,1123066,10377.0
2023-08-05,1121066,11463.0
2023-12-03,1125061,8499.0
2023-01-30,1123051,12559.0
2023-10-11,1105057,18250.0
2023-11-12,1110063,20012.0
2023-02-14,1120052,13828.0
2023-01-31,1125065,17454.0
2023-01-28,1101061,129967.0
2023-12-15,1112065,29507.0
2023-08-12,1117051,53908.0
2023-01-20,1112071,43517.0
2023-01-06,1117067,15113.0
2023-05-11,1120070,17303.0
2023-12-07,1113069,14582.0
2023-02-17,1117068,25676.0
2023-03-05,1112066,10286.0
2023-02-03,1116074,36729.0
2023-02-24,1119068,20465.0
2023-07-25,1121073,26240.0
2023-05-27,1114063,1506.0
2023-10-10,1103070,6000.0
2023-05-12,1115051,67966.0
2023-01-16,1101060,2033.0
2023-03-20,1125055,4053.0
2023-11-06,1107071,31841.0
2023-05-03,1118053,10180.0
2023-05-17,1107060,41554.0
2023-10-29,1112059,10409.0
2023-05-13,1101055,8375.0
2023-09-13,1124052,8180.0
2023-03-29,1114070,5289.0
2023-08-16,1122058,11715.0
2023-06-21,1108066,40679.0
2023-06-22,1115060,6395.0
2023-01-02,1116074,32864.0
2023-07-13,1106080,12701.0
2023-05-22,1115070,13419.0
2023-01-26,1112055,42186.0
2023-04-02,1117067,9000.0
2023-05-21,1121080,54902.0
2023-07-26,1108077,16960.0
2023-10-04,1115070,13216.0
2023-08-31,1124056,6877.0
2023-08-28,1122054,12690.0
2023-05-20,1103065,21494.0
2023-03-30,1117052,4164.0
2023-07-07,1102071,26011.0
2023-08-31,1117055,7612.0
2023-01-04,1124077,110634.0
2023-12-28,1102054,147427.0
2023-08-01,1111073,3753.0
2023-09-03,1108062,7480.0
2023-06-22,1123052,81430.0
2023-06-20,1112074,15657.0
2023-11-23,1113072,11617.0
2023-10-15,1114070,3959.0
2023-07-29,1115054,7120.0
2023-02-27,1120071,24821.0
2023-03-20,1108081,15336.0
2023-10-06,1101068,125.0
2023-07-15,1125056,3863.0
2023-04-25,1113066,7850.0
2023-09-19,1101067,10791.0
2023-03-20,1115059,3946.0
2023-01-28,1120069,4591.0
2023-04-25,1115052,31018.0
2023-08-01,1104059,10165.0
2023-09-27,1121080,96022.0
2023-08-04,1118055,11506.0
2023-04-12,1125066,62972.0
2023-06-16,1109064,10930.0
2023-05-29,1110053,5126.0
2023-08-26,1105053,56792.0
2023-04-13,1104072,5526.0
2023-02-09,1116061,15463.0
2023-07-25,1123072,20723.0
2023-10-14,1123079,66638.0
2023-08-23,1112055,40265.0
2023-09-25,1123067,32421.0
2023-12-22,1120072,68123.0
2023-09-11,1119054,163115.0
2023-04-24,1122052,112439.0
2023-05-23,1104055,26969.0
2023-03-27,1123075,43903.0
2023-12-24,1109073,5199.0
2023-11-05,1120066,6482.0
2023-08-13,1102069,15928.0
2023-12-29,1111058,11604.0
2023-09-04,1119067,4371.0
2023-07-10,1111076,12105.0
2023-03-04,1108068,9345.0
2023-01-08,1109062,4389.0
2023-10-23,1114061,4113.0
2023-05-11,1111059,28948.0
2023-10-05,1117065,4288.0
